"genes","logFC","logCPM","LR","PValue","FDR"
"H2scaf30-aug10806",-1.1433186609739,6.92942479051429,28.4782120046614,9.47588630507403e-08,3.81214906053128e-05
"H2scaf10-aug12047",2.18424716124088,1.94143147766315,28.3097388296534,1.03374595822281e-07,4.10018590556515e-05
"H2scaf8-aug2734",1.85249108462474,3.96422479501308,28.2486490293029,1.06689068632227e-07,4.17287619687798e-05
"H2scaf1-aug9502",-1.65400682958795,6.96868098829269,28.1586848733324,1.11765022564165e-07,4.23139393620268e-05
"H2scaf6-aug3435",-2.16710405340496,-0.202800107185987,28.1451148653153,1.12551397796877e-07,4.23139393620268e-05
"H2scaf124-aug21112",-1.72021268895971,3.04411681768714,28.1426827118471,1.1269292468847e-07,4.23139393620268e-05
"H2scaf11-aug7088",-1.20634857125359,4.46404549420899,27.962611504158,1.23682228864409e-07,4.58291479875083e-05
"H2scaf12-aug800",1.86020751279441,7.03499403780593,27.6173299062477,1.47848190627954e-07,5.40721155360235e-05
"H2scaf1291-aug25103",1.44496084996919,5.96646958261756,27.5896082372627,1.49982386123936e-07,5.41494099440532e-05
"H2scaf30-aug10739",-1.23895536527894,4.1347846045547,27.339208564118,1.7071449977042e-07,6.08543168105671e-05
"H2scaf62-aug14357",2.53960377989948,0.0644015702315483,27.1254607007685,1.90670144441739e-07,6.71182742202976e-05
"H2scaf30-aug10769",-1.6547608907746,2.59706551115057,27.0058540192256,2.02840216786763e-07,7.05207820361981e-05
"H2scaf30-aug10763",-1.12780233403763,6.57045398599605,26.9786095459626,2.05719497752062e-07,7.06495948316563e-05
"H2scaf19-aug8306",1.63932863968989,2.33422644893051,26.8750959654912,2.17037638467454e-07,7.29291188785227e-05
"H2scaf1-aug10027",-1.22278257190534,4.510153781158,26.8706586843866,2.1753652163616e-07,7.29291188785227e-05
"H2scaf73-aug16894",1.59781824467883,1.20819333639265,26.6960278513106,2.38110502582018e-07,7.88874101554378e-05
"H2scaf19-aug8307",1.66128365146448,2.04226653523043,26.6510994189454,2.43712074491577e-07,7.98043689506663e-05
"H2scaf1-aug9997",-1.21213780221727,6.42948060661284,26.6121329257501,2.48677175263907e-07,8.04942291104239e-05
"H2scaf30-aug10764",-1.11178283082499,7.40161846558938,26.2704265022506,2.96798916783901e-07,9.49790260858119e-05
"H2scaf30-aug10794",-1.18515469864297,5.57901457391301,26.1373181434554,3.17978660382611e-07,0.00010061345005657
"H2scaf443-aug24148",2.68961102636391,-1.30181770343737,25.8002922089123,3.78631143227299e-07,0.000117171776092571
"H2scaf8-aug2966",2.68961102636391,-1.30181770343737,25.8002922089123,3.78631143227299e-07,0.000117171776092571
"H2scaf30-aug10823",-1.12909522886002,5.78069902623547,25.5980050588142,4.20473883704849e-07,0.000128305690444713
"H2scaf21-aug9008",1.96213001848016,0.755588604409574,25.5831574682965,4.23721785851295e-07,0.000128305690444713
"H2scaf1-aug10006",-1.1406941917897,5.94855814234334,25.4852899858417,4.45768701629765e-07,0.000133545663899955
"H2scaf26-aug18189",-2.54361042095308,1.88425399026387,24.9685764243992,5.82723509613079e-07,0.000172737650044357
"H2scaf30-aug10829",-1.24420996244019,7.63034306472612,24.3882750392381,7.87465086861657e-07,0.000230997961574074
"H2scaf854-aug24710",-2.89250630109627,-1.55979933385132,24.2925342900031,8.2759205597822e-07,0.000240266184416522
"H2scaf30-aug10762",-1.27141009463277,5.42380822315179,24.1775216408281,8.78516880023007e-07,0.000251447614820378
"H2scaf7186-aug27502",3.16985907416561,-1.68407788980486,24.1656172114209,8.83964130081227e-07,0.000251447614820378
"H2scaf7-aug2212",-2.15847166970436,2.24336183882401,24.1158164246905,9.07121719198623e-07,0.000255454547343524
"H2scaf1140-aug24967",-2.31636287108927,0.333619085986608,23.9891079989153,9.68822268122405e-07,0.000270128751411832
"H2scaf30-aug10795",-1.13520055747599,6.26861902666352,23.9363575577573,9.95733921820331e-07,0.000274910421297866
"H2scaf30-aug10766",-1.09647657312577,5.73462428698377,23.910868129667,1.00900522137514e-06,0.000275869864457721
"H2scaf15-aug424",3.09922125409297,-0.880622112780059,23.5701760085897,1.20439873176951e-06,0.000326125698897703
"H2scaf30-aug10851",-1.10263918161827,7.96760995167801,23.4694202941064,1.26915081718979e-06,0.0003403862491703
"H2scaf7-aug2208",-2.13707553738476,3.45506798149516,23.4202915059103,1.30197912303057e-06,0.000344434987342502
"H2scaf14-aug221",-1.12232392510685,5.07466175116011,23.4051806236121,1.31224660363765e-06,0.000344434987342502
"H2scaf30-aug10846",-1.06154251805779,6.75993737990632,23.3924794301905,1.32093954877278e-06,0.000344434987342502
"H2scaf1-aug10025",-1.27287371872927,3.18451374853791,23.3104366962644,1.37849967307646e-06,0.000356146140307395
"H2scaf1945-aug25475",-1.85196128740731,-0.29380126925663,23.2391656273397,1.43054078575741e-06,0.000366231446070132
"H2scaf1-aug10004",-1.16919946838244,4.48070355468363,23.0204209819294,1.60289709756108e-06,0.000406659325805564
"H2scaf9-aug22581",-2.49072629793636,-0.641409502837497,22.9205527412486,1.68836908912418e-06,0.000424519302846662
"H2scaf26-aug18149",-2.52621721008845,-0.738654014525405,22.6014819096265,1.99330797238657e-06,0.00049595705900996
"H2scaf1-aug9991",-1.13834223481966,4.20362425211235,22.5778539170776,2.01797408275844e-06,0.00049595705900996
"H2scaf974-aug24822",-1.85411049862587,-0.212633573068646,22.5708722814305,2.02532089720342e-06,0.00049595705900996
"H2scaf73-aug16816",-1.24142679725934,2.53259159327291,22.5171345574261,2.08277485761338e-06,0.000505629506596987
"H2scaf30-aug10779",-1.27393644059897,6.00680366246699,22.3759153932526,2.24167598121986e-06,0.000539554165018227
